Model,P value,% Stylized,Victim BLEU (Original),Victim BLEU (Stylized),Attacker BLEU (Original),Attacker BLEU (Stylized / Original) Training,
twitter_cds,0,5,34.74,34.37,34.49,30.59,
twitter_cds,0.1,5,34.74,34.49,34.49,30.58,
twitter_cds,0.3,5,34.74,34.28,34.49,30.67,
poetry_cds,0.1,5,34.74,33.91,34.49,30.44,
poetry_cds,0.3,5,34.74,33.92,34.49,30.49,
formality_314,0.1,5,34.74,34.5,34.49,30.5,
poetry_cds,0,5,34.74,33.97,34.49,30.43,
lyrics,0,5,34.74,34.4,34.49,30.44,
lyrics,0.1,5,34.74,34.32,34.49,30.35,
lyrics,0.3,5,34.74,34.38,34.49,30.35,
twitter_cds,0.1,10,34.74,33.91,34.49,30.37,
poetry_cds,0.1,10,34.74,33.17,34.49,30.36,
formality_314,0.1,10,34.74,34.13,34.49,30.51,
lyrics,0.1,10,34.74,33.89,34.49,30.42,
twitter_cds,0.1,15,34.74,33.62,34.49,30.39,
poetry_cds,0.1,15,34.74,33.21,34.49,30.01,
formality_314,0.1,15,34.74,33.81,34.49,30.53,
lyrics,0.1,15,34.74,33.65,34.49,30.26,